//==============================================================================================================================================//									
//	MuDevs.com								
//	Version: S20.2-3								
//	Update: May/29/2025								
//	Editor: OMEGA								
//	UTF-8								
//==============================================================================================================================================//									
//[Index]	[ViewportID]	[ItemType]	[ItemIndex]	[Name]	[Type]	[notice]	[Cleartype]	[Explanation]	[BuffOutputValue]
0									
267	259	255	255	"Loại bỏ hiệu ứng giảm DEF của Berserker"	0	0	1	"Loại bỏ hiệu ứng giảm DEF của Berserker"	0
268	260	255	255	"Tăng cường hiệu ứng kỹ năng tăng HP"	0	0	1	"Tăng hiệu ứng kỹ năng tăng HP"	0
269	261	255	255	"Tăng cường Wrath"	0	0	1	"Tăng cường Wrath"	0
270	262	255	255	"Giảm hiệu ứng giảm DEF của Wrath"	0	0	1	"Giảm hiệu ứng giảm DEF của Wrath"	0
271	263	255	255	"Giảm tỉ lệ SD"	0	0	1	"Giảm tỷ lệ SD"	0
272	264	255	255	"Tăng SD"	0	0	1	"Tăng SD"	0
273	265	255	255	"Trúng độc"	1	0	1	"Trúng Độc"	0
274	266	255	255	"Lạnh buốt"	1	0	1	"Lạnh cóng"	0
275	267	255	255	"Chảy máu"	1	0	1	"Chảy máu"	0
276	268	255	255	"Sốc"	1	0	1	"Sốc"	0
277	269	255	255	"Độc chết người"	1	0	1	"Độc chết người"	0
278	270	255	255	"Đóng băng"	1	0	1	"Đóng băng"	0
279	271	255	255	"Xuất huyết"	1	0	1	"Xuất huyết"	0
280	272	255	255	"Choáng"	1	0	1	"Choáng"	0
281	273	255	255	"Tăng khả năng giảm SD"	0	0	1	"Tăng giảm sát thương lên SD"	0
282	274	255	255	"Tăng HP tối đa"	0	0	1	"Tăng HP tối đa"	0
283	275	255	255	"Chỉ số thứ 4"	0	0	1	"Chỉ số thứ 4"	0
284	276	255	255	"Tăng DEF cơ bản"	0	0	1	"Tăng DEF cơ bản"	0
285	277	255	255	"Tăng sát thương Cánh cấp 4"	0	0	1	"Tăng sát thương Cánh cấp 4"	0
286	278	255	255	"Tăng sát thương"	0	0	1	"Tăng sát thương"	0
287	279	255	255	"Tăng pháp thuật"	0	0	1	"Tăng Pháp thuật"	0
288	280	255	255	"Chỉ số thứ 4"	0	0	1	"Chỉ số thứ 4"	0
289	281	255	255	"Tăng sát thương kỹ năng"	0	0	1	"Tăng sát thương kỹ năng"	0
290	282	255	255	"Tăng sát thương Cánh cấp 4"	0	0	1	"Tăng sát thương Cánh cấp 4"	0
291	283	255	255	"Tăng sát thương / Pháp thuật"	0	0	1	"Tăng Sát thương / Pháp thuật"	0
292	284	14	453	"Cuộn Chuyển đổi"	0	0	1	"Nhấn CTRL+F để sử dụng Chế độ Chuyển đổi."	0
293	285	255	255	"Bộc phát"	0	1	1	"Tăng sát thương kỹ năng và tiêu hao MP"	0
294	286	255	255	"Gia tốc"	0	1	1	"Tăng tốc độ tấn công và tiêu hao AG"	0
295	285	255	255	"Tăng cường Bộc phát"	0	1	1	"Tăng sát thương kỹ năng và tiêu hao MP"	0
296	285	255	255	"Tinh thông Bộc phát"	0	1	1	"Tăng sát thương kỹ năng và tiêu hao MP"	0
298	286	255	255	"Tăng cường Gia tốc"	0	1	1	"Tăng tốc độ tấn công và tiêu hao AG"	0
299	286	255	255	"Tinh thông Gia tốc"	0	1	1	"Tăng tốc độ tấn công và tiêu hao AG"	0
301	288	255	255	"Bóng tối"	0	1	1	"Tăng Nguyền rủa / Phòng thủ, giảm HP tối đa"	0
302	288	255	255	"Bóng tối"	0	1	1	"Tăng Nguyền rủa / Phòng thủ, giảm HP tối đa"	0
303	288	255	255	"Bóng tối"	0	1	1	"Tăng Nguyền rủa / Phòng thủ"	0
304	43	255	255	"Tinh thông Suy yếu"	0	1	1	"Hiệu ứng Weakness ảnh hưởng đến Sức mạnh Nguyên tố của mục tiêu"	0
305	43	255	255	"Tinh thông Kích thích"	0	1	1	"Hiệu ứng Weakness ảnh hưởng đến Phòng thủ Nguyên tố của mục tiêu."	0
306	289	255	255	"Lưỡi hái Tử thần"	0	0	1	"Lưỡi hái Tử thần tấn công kẻ địch cùng với nhân vật."	0
307	290	12	471	"Chiến mã Hộ vệ Huyễn ảnh"	0	0	1	"Vật phẩm Thú cưỡi Hộ vệ"	0
308	291	255	255	"Tăng tốc độ di chuyển"	0	0	1	"Kỹ năng Thú cưỡi Hộ vệ độc quyền"	0
309	292	255	255	"Quái Tinh anh - Chảy máu"	1	0	1	"Quái Tinh anh - Chảy máu"	0
310	293	255	255	"Quái Tinh anh - Trúng độc"	1	0	1	"Quái Tinh anh - Trúng Độc"	0
311	294	255	255	"Quái Tinh anh - Giảm tấn công"	1	0	1	"Quái Tinh anh - Giảm Tấn công"	0
312	295	255	255	"Quái Tinh anh - Giảm tốc độ tấn công"	1	0	1	"Quái Tinh anh - Giảm Tốc độ Tấn công"	0
313	296	255	255	"Quái Tinh anh - Giảm phòng thủ"	1	0	1	"Quái Tinh anh - Giảm Phòng thủ"	0
314	283	255	255	"Tăng Pháp thuật / Nguyền rủa"	1	0	1	"Tăng Pháp thuật / Nguyền rủa"	0
315	297	255	255	"Bầy Dơi"	1	0	1	"Nhận sát thương từ đàn dơi mỗi giây."	0
316	298	255	255	"Phát hiện"	0	0	1	"Tạm thời phát hiện sinh vật sống xung quanh./(Kết quả kéo dài 1 phút.)"	0
317	299	255	255	"Phá hủy"	0	1	1	"Khi tấn công, bỏ qua %d Phòng thủ của kẻ địch."	1
318	298	255	255	"Tăng cường Phát hiện"	0	0	1	"Tạm thời xác định vị trí sinh vật sống trong khu vực./(Kết quả duy trì trong 1 phút.)"	0
319	299	255	255	"Tăng cường Phá hủy"	0	1	1	"Khi tấn công, bỏ qua %d Phòng thủ của kẻ địch."	1
320	299	255	255	"Tinh thông Phá hủy"	0	1	1	"Khi tấn công, bỏ qua %d Phòng thủ của kẻ địch."	1
321	300	255	255	"Phá hủy - Giảm sức mạnh kỹ năng"	1	0	1	""	1
322	290	12	483	"Rồng Băng"	0	0	1	"Vật phẩm Thú cưỡi Hộ vệ"	0
323	290	12	484	"Rồng Băng (Hiếm)"	0	0	1	"Vật phẩm Thú cưỡi Hộ vệ"	0
324	301	255	255	"Cuồng nộ của Kiếm"	0	1	1	"Biến thành Fury Knight. Tăng tầm đánh và phạm vi sát thương của các kỹ năng tấn công dạng Đánh mạnh."	0
325	302	255	255	"Niềm tin Kiên định"	0	1	1	"Biến thành Belief Knight. Hiệu quả chỉ số thay đổi và có thể sử dụng kỹ năng Strong Blessing."	0
326	303	255	255	"Phước lành Mạnh mẽ"	0	1	1	"Tăng ATK và Pháp thuật cho thành viên tổ đội, hấp thụ HP của thành viên và gánh một phần sát thương thay họ."	0
327	301	255	255	"Tăng cường Cuồng nộ của Kiếm"	0	1	1	"Biến thành Fury Knight. Tăng tầm đánh và phạm vi sát thương của các kỹ năng tấn công dạng Đánh mạnh."	0
328	301	255	255	"Tinh thông Cuồng nộ của Kiếm"	0	1	1	"Biến thành Fury Knight. Tăng tầm đánh và phạm vi sát thương của các kỹ năng tấn công dạng Đánh mạnh."	0
329	303	255	255	"Tăng cường Phước lành Mạnh mẽ"	0	1	1	"Tăng ATK và Pháp thuật cho thành viên tổ đội, hấp thụ HP của thành viên và gánh một phần sát thương thay họ."	0
330	303	255	255	"Thành thạo Phước lành Mạnh mẽ"	0	1	1	"Tăng ATK và Pháp thuật cho thành viên tổ đội, hấp thụ HP của thành viên và gánh một phần sát thương thay họ."	0
331	303	255	255	"Tinh thông Phước lành Mạnh mẽ"	0	1	1	"Tăng ATK và Pháp thuật cho thành viên tổ đội, hấp thụ HP của thành viên và gánh một phần sát thương thay họ."	0
332	303	255	255	"Tinh thông Phước lành Mạnh mẽ"	0	1	1	"Tăng ATK và Pháp thuật cho thành viên tổ đội, hấp thụ HP của thành viên và gánh một phần sát thương thay họ."	0
333	304	255	255	"Hiệu ứng Phước lành Mạnh mẽ"	0	1	1	"Hiệu ứng Chúc phúc của Dark Knight"	0
334	302	255	255	"Tăng cường kỹ năng Niềm tin Kiên định"	0	1	1	"Biến thành Belief Knight. Hiệu quả chỉ số thay đổi và có thể sử dụng kỹ năng Strong Blessing."	0
335	303	255	255	"Tăng cường kỹ năng Phước lành Mạnh mẽ"	0	1	1	"Tăng ATK và Pháp thuật cho thành viên tổ đội, hấp thụ HP của thành viên và gánh một phần sát thương thay họ."	0
336	302	255	255	"Tăng cường Niềm tin Kiên định"	0	1	1	"Biến thành Belief Knight. Hiệu quả chỉ số thay đổi và có thể sử dụng kỹ năng Strong Blessing."	0
339	310	255	255	"Liên kết - Không hoạt động"	0	1	1	"Buff Liên kết hiện đang không hoạt động./Nếu bạn lập tổ đội với Kundun và Lemuria, bạn sẽ hình thành liên kết và Buff Liên kết sẽ được kích hoạt."	0
340	310	255	255	"Liên kết"	0	1	1	"Kundun và Lemuria đã hình thành liên kết khiến sát thương tăng lên."	0
341	310	255	255	"Liên kết - Thành viên Party"	0	1	1	"Kundun và Lemuria đã hình thành liên kết khiến sát thương tăng lên./(Mức tăng sát thương cho thành viên không phải Kundun/Lemuria sẽ khác.)"	0
342	311	255	255	"Dây Liên kết"	0	1	1	"Một Dây Liên Kết được tạo ra do Liên kết của Kundun và Lemuria./(Quái vật chạm vào dây sẽ nhận sát thương.)"	0
343	39	255	255	"Khiên Phản chiếu"	0	1	1	"50% tỉ lệ tạo lá chắn phản xạ khi nhận sát thương sốc, chặn và phản lại một phần sát thương."	0
345	39	255	255	"Khiên Phản chiếu"	0	1	1	"50% tỉ lệ tạo lá chắn phản xạ khi nhận sát thương sốc, chặn và phản lại một phần sát thương / tăng MP tối đa."	0
346	1	255	255	"Tăng cường Tấn công Cơ bản"	0	1	1	"Tăng Tấn công"	0
347	2	255	255	"Tăng cường Phòng thủ Cơ bản"	0	1	1	"Tăng Phòng thủ"	0
348	87	255	255	"Phước lành Cơ bản"	0	1	1	"Tất cả chỉ số tăng."	2
349	306	255	255	"Sự kiện Kỷ niệm 20 năm - Cấp 0"	0	1	1	"EXP tăng 5%"	0
350	306	255	255	"Sự kiện Kỷ niệm 20 năm - Cấp 1"	0	1	1	"EXP tăng 5%"	0
351	306	255	255	"Sự kiện Kỷ niệm 20 năm - Cấp 2"	0	1	1	"EXP tăng 5%"	0
352	306	255	255	"Sự kiện Kỷ niệm 20 năm Cấp 3"	0	1	1	"EXP tăng 10%"	0
353	306	255	255	"Sự kiện Kỷ niệm 20 năm Cấp 4"	0	1	1	"EXP tăng 10%"	0
354	306	255	255	"Sự kiện Kỷ niệm 20 năm Cấp 5"	0	1	1	"EXP tăng 10%"	0
355	306	255	255	"Sự kiện Kỷ niệm 20 năm Cấp 6"	0	1	1	"EXP tăng 15%"	0
356	306	255	255	"Sự kiện Kỷ niệm 20 năm Cấp 7"	0	1	1	"EXP tăng 15%"	0
357	306	255	255	"Sự kiện Kỷ niệm 20 năm Cấp 8"	0	1	1	"EXP tăng 15%"	0
358	306	255	255	"Sự kiện Kỷ niệm 20 năm Cấp 9"	0	1	1	"EXP tăng 20%"	0
359	306	255	255	"Sự kiện Kỷ niệm 20 năm Cấp 10"	0	1	1	"EXP tăng 20%"	0
360	306	255	255	"Sự kiện Kỷ niệm 20 năm Cấp 11"	0	1	1	"EXP tăng 20%"	0
361	306	255	255	"Sự kiện Kỷ niệm 20 năm Cấp 12"	0	1	1	"EXP tăng 20%"	0
362	306	255	255	"Sự kiện Kỷ niệm 20 năm Cấp 13"	0	1	1	"EXP tăng 20%"	0
363	306	255	255	"Sự kiện Kỷ niệm 20 năm Cấp 14"	0	1	1	"EXP tăng 20%"	0
364	306	255	255	"Sự kiện Kỷ niệm 20 năm Cấp 15"	0	1	1	"EXP tăng 20%"	0
365	307	255	255	"Spiral Charge"	0	1	1	"Chuyển sang Magic Gladiator dùng Kiếm Hai Tay. /Tấn công và Phòng thủ tăng. /Tầm đánh kỹ năng Chaos Blade và Fire Blood tăng, đòn đánh thứ 3 kích hoạt bạo kiếm."	0
366	307	255	255	"Crusher Charge"	0	1	1	"Chuyển sang Magic Gladiator dùng Kiếm Một Tay. /Tốc độ tấn công và Phòng thủ tăng. /Tầm đánh kỹ năng Chaos Blade và Ice Blood tăng, đòn đánh thứ 3 kích hoạt bạo kiếm."	0
367	307	255	255	"Elemental Charge"	0	1	1	"Chuyển sang Magic Gladiator hệ Pháp sư. /Pháp thuật và Phòng thủ tăng. /Tầm đánh kỹ năng Havok Spear tăng, đòn đánh thứ 3 kích hoạt Nova."	0
368	307	255	255	"Tăng cường Spiral Charge"	0	1	1	"Chuyển sang Magic Gladiator dùng Kiếm Hai Tay. /Tấn công và Phòng thủ tăng. /Tầm đánh kỹ năng Chaos Blade và Fire Blood tăng, đòn đánh thứ 3 kích hoạt bạo kiếm."	0
369	307	255	255	"Tinh thông Spiral Charge"	0	1	1	"Chuyển sang Magic Gladiator dùng Kiếm Hai Tay. /Tấn công và Phòng thủ tăng. /Tầm đánh kỹ năng Chaos Blade và Fire Blood tăng, đòn đánh thứ 3 kích hoạt bạo kiếm."	0
370	307	255	255	"Tăng cường Crusher Charge"	0	1	1	"Chuyển sang Magic Gladiator dùng Kiếm Một Tay. /Tốc độ tấn công và Phòng thủ tăng. /Tầm đánh kỹ năng Chaos Blade và Ice Blood tăng, đòn đánh thứ 3 kích hoạt bạo kiếm."	0
371	307	255	255	"Tinh thông Crusher Charge"	0	1	1	"Chuyển sang Magic Gladiator dùng Kiếm Một Tay. /Tốc độ tấn công và Phòng thủ tăng. /Tầm đánh kỹ năng Chaos Blade và Ice Blood tăng, đòn đánh thứ 3 kích hoạt bạo kiếm."	0
372	307	255	255	"Tăng cường Elemental Charge"	0	1	1	"Chuyển sang Magic Gladiator hệ Pháp sư. /Pháp thuật và Phòng thủ tăng. /Tầm đánh kỹ năng Havok Spear tăng, đòn đánh thứ 3 kích hoạt Nova."	0
373	307	255	255	"Tinh thông Elemental Charge"	0	1	1	"Chuyển sang Magic Gladiator hệ Pháp sư. /Pháp thuật và Phòng thủ tăng. /Tầm đánh kỹ năng Havok Spear tăng, đòn đánh thứ 3 kích hoạt Nova."	0
374	290	12	75	"Trang bị Sư Tử Dữ"	0	0	1	"Vật phẩm Thú cưỡi Hộ vệ"	0
375	290	12	76	"Trang bị Sư Tử Dữ (Hiếm)"	0	0	1	"Vật phẩm Thú cưỡi Hộ vệ"	0
376	313	255	255	"Hiệu ứng bổ sung cho trang bị độc quyền - Pentagram"	0	1	1	"Trang bị vật phẩm độc quyền của nhân vật và tăng chỉ số trang bị."	0
377	316	255	255	"Phúc lành Kinh nghiệm"	0	1	1	"Nhận Phúc lành Kinh nghiệm / nhận thêm 35% EXP Cơ bản."	0
378	308	255	255	"Chaos Blade"	1	1	1	""	0
379	308	255	255	"Havok Spear"	1	1	1	""	0
380	309	255	255	"Fixed Fire"	0	1	1	"Hiệu ứng chỉ số Pháp thuật, Tốc độ tấn công và Phòng thủ được thay đổi. (Chuột phải để hủy buff)"	0
381	309	255	255	"Tăng cường Fixed Fire"	0	1	1	"Hiệu ứng chỉ số Pháp thuật, Tốc độ tấn công và Phòng thủ được thay đổi. (Chuột phải để hủy buff)"	0
382	309	255	255	"Tinh thông Fixed Fire"	0	1	1	"Hiệu ứng chỉ số Pháp thuật, Tốc độ tấn công và Phòng thủ được thay đổi. (Chuột phải để hủy buff)"	0
383	317	255	255	"Hàng rào Phản xạ (Tường Phản Chiếu)"	0	1	1	"Hiệu ứng Tường Phản Chiếu – Hàng rào phản xạ"	0
384	318	255	255	"Hiệu ứng bổ sung cho trang bị độc quyền - Vũ khí"	0	1	1	"Trang bị vật phẩm độc quyền của nhân vật và tăng chỉ số trang bị."	0
385	306	255	255	"Sự kiện Kỷ niệm 20 năm Cấp 16"	0	1	1	"EXP tăng 20%"	0
386	306	255	255	"Sự kiện Kỷ niệm 20 năm Cấp 17"	0	1	1	"EXP tăng 20%"	0
387	306	255	255	"Sự kiện Kỷ niệm 20 năm Cấp 18"	0	1	1	"EXP tăng 20%"	0
388	306	255	255	"Sự kiện Kỷ niệm 20 năm Cấp 19"	0	1	1	"EXP tăng 20%"	0
389	306	255	255	"Sự kiện Kỷ niệm 20 năm Cấp 20"	0	1	1	"EXP tăng 20%"	0
390	306	255	255	"Sự kiện Kỷ niệm 20 năm Cấp 21"	0	1	1	"EXP tăng 20%"	0
391	306	255	255	"Sự kiện Kỷ niệm 20 năm Cấp 22"	0	1	1	"EXP tăng 20%"	0
392	306	255	255	"Sự kiện Kỷ niệm 20 năm Cấp 23"	0	1	1	"EXP tăng 20%"	0
393	306	255	255	"Sự kiện Kỷ niệm 20 năm Cấp 24"	0	1	1	"EXP tăng 20%"	0
394	306	255	255	"Sự kiện Kỷ niệm 20 năm Cấp 25"	0	1	1	"EXP tăng 20%"	0
395	319	255	255	"Dex Booster"	0	1	1	"Tăng tốc độ di chuyển, tốc độ tấn công và tỷ lệ đánh trúng"	0
396	320	255	255	"Cường hóa Tấn công Nguyên tố"	0	1	1	"Tăng ATK Nguyên Tố./(Chỉ có hiệu lực khi trang bị Pentagram.)"	0
397	321	255	255	"Cường hóa Phòng thủ Nguyên tố"	0	1	1	"Tăng DEF Nguyên Tố./(Chỉ có hiệu lực khi trang bị Pentagram.)"	0
398	320	255	255	"Kỹ năng tăng cường Cường hóa Tấn công Nguyên tố"	0	1	1	"Tăng ATK Nguyên Tố./(Chỉ có hiệu lực khi trang bị Pentagram.)"	0
399	321	255	255	"Kỹ năng tăng cường Cường hóa Phòng thủ Nguyên tố"	0	1	1	"Tăng DEF Nguyên Tố./(Chỉ có hiệu lực khi trang bị Pentagram.)"	0
400	1	255	255	"Kỹ năng tăng cường Cường hóa Tấn công"	0	1	1	"Tăng Tấn công"	0
401	2	255	255	"Kỹ năng tăng cường Cường hóa Phòng thủ"	0	1	1	"Tăng Phòng thủ"	0
402	87	255	255	"Kỹ năng tăng cường Bless"	0	1	1	"Tất cả chỉ số tăng."	2
403	322	12	83	"Trang bị Đuôi Sáng"	0	0	1	"Vật phẩm Thú cưỡi Hộ vệ"	0
404	322	12	84	"Trang bị Đuôi Sáng (Hiếm)"	0	0	1	"Vật phẩm Thú cưỡi Hộ vệ"	0
405	323	255	255	"Illusion Blade"	0	1	1	"Triệu hồi Illusion Blade, tăng ATK nhân vật."	0
406	323	255	255	"Tăng cường Illusion Blade"	0	1	1	"Triệu hồi Illusion Blade, tăng ATK và Sức mạnh kỹ năng."	0
407	323	255	255	"Thành thạo Illusion Blade"	0	1	1	"Triệu hồi Illusion Blade, tăng ATK, Sức mạnh kỹ năng và Tốc độ tấn công."	0
408	323	255	255	"Tinh thông Illusion Blade"	0	1	1	"Triệu hồi Illusion Blade, tăng ATK, Sức mạnh kỹ năng và Tốc độ tấn công. / Khi tấn công kẻ địch, sát thương kẻ địch phải chịu tăng 5%."	0
409	324	255	255	"Illusion Avatar"	0	0	1	"Tạo hình ảnh Illusion Knight tấn công quái vật xung quanh."	0
410	325	255	255	"Tăng DMG"	1	1	1	"Khi Illusion Knight tấn công quái, toàn bộ sát thương quái nhận vào tăng 5%."	0
411	326	255	255	"Season Pass - Tăng HP tối đa"	0	0	1	"Tăng HP Tối đa thêm %d."	2
412	327	255	255	"Season Pass - Tăng EXP cơ bản"	0	0	1	"Tăng EXP Cơ bản thêm %0.1f%%."	2
413	328	255	255	"Season Pass - Tăng hệ số Tempest Muun"	0	0	1	"Tăng hiệu ứng Hệ số Tempest Muun thêm %d lần."	2
414	329	255	255	"Season Pass - [G] Mastery Soul Crystal"	0	0	1	"Có thể rơi 'Mastery Soul Crystal' khi tiêu diệt quái, với tỷ lệ %0.3f%%."	2
415	330	255	255	"Season Pass - [P] Mastery Soul Crystal"	0	0	1	"Có thể rơi 'Mastery Soul Crystal' khi tiêu diệt quái, với tỷ lệ %0.3f%%."	2
418	331	12	93	"Thú cưỡi Ullr"	0	0	1	"Vật phẩm Thú cưỡi Hộ vệ"	0
419	332	12	94	"Thú cưỡi Ullr (Hiếm)"	0	0	1	"Vật phẩm Thú cưỡi Hộ vệ"	0
420	333	14	366	"Một Miếng Pizza"	0	0	1	"Nhận thêm 50% EXP Cơ bản / Tốc độ tấn công tăng 10."	0
421	334	255	255	"Sát thương Nuke bổ sung"	0	0	1	"Có thể gây thêm sát thương Nuke khi tấn công."	0
422	335	255	255	"Sát thương Bolt bổ sung"	0	0	1	"Có thể gây thêm sát thương Bolt khi tấn công."	0
423	336	255	255	"Sát thương Diện rộng bổ sung"	0	0	1	"Có thể gây thêm sát thương Wide khi tấn công."	0
424	123	255	255	"Wrath"	0	1	1	"ATK và Lực chiến tăng. DEF giảm."	0
425	123	255	255	"Tăng cường Wrath"	0	1	1	"ATK và Lực chiến tăng. DEF giảm."	0
426	116	14	69	"[PC Room] Bless of Light (Cao cấp)"	0	0	1	"Nhận phúc lành trong thời gian ngắn / nhận thêm 200% EXP Cơ bản."	0
427	87	255	255	"Crown Force"	0	1	1	"Tất cả chỉ số tăng."	0
428	337	255	255	"Divine Force"	0	1	1	"Tăng mạnh các thuộc tính cần thiết để tấn công trong 3 giây."	0
429	337	255	255	"Divine Aura"	0	1	1	"Tăng mạnh phòng thủ trong 3 giây."	0
430	117	20	247	"Ngựa Thần Thánh"	0	0	1	"Triệu hồi và cưỡi Thần Mã"	0
431	230	20	248	"Tinh linh Thần Thánh Lửa"	0	0	1	"Triệu hồi Linh Thần Lửa."	0
432	230	20	249	"Tinh linh Thần Thánh Băng"	0	0	1	"Triệu hồi Linh Thần Băng."	0
433	230	20	250	"Tinh linh Thần Thánh Thánh"	0	0	1	"Triệu hồi Linh Thần Thánh."	0
434	338	12	51	"Trang bị Leviathan"	0	0	1	"Vật phẩm Thú cưỡi Hộ vệ"	0
435	338	12	52	"Trang bị Leviathan (Hiếm)"	0	0	1	"Vật phẩm Thú cưỡi Hộ vệ"	0
436	337	255	255	"Battle Glory"	0	1	1	"ATK và Lực chiến của bạn tăng."	0
437	337	255	255	"Tăng cường Battle Glory"	0	1	1	"ATK và Lực chiến của bạn tăng."	0
442	230	20	256	"[Ràng buộc] Tinh linh Thần Thánh Lửa"	0	0	1	"Triệu hồi Linh Thần Lửa [Bị ràng buộc]."	0
443	339	255	255	"Đá Hỗn loạn"	0	0	1	""	0
//S20.2-3									
444	338	12	53	"Trang bị Tauros"	0	0	1	"Vật phẩm Thú cưỡi Hộ vệ"	0
445	338	12	54	"Trang bị Tauros (Hiếm)"	0	0	1	"Vật phẩm Thú cưỡi Hộ vệ"	0
//S20.2-1									
446	340	255	255	"Lời ca ngợi đặc biệt"	1	0	1	"Phòng thủ bị giảm."	0
//S20.2-2									
447	341	19	17	"Phúc lành của Eunice"	2	0	1	"Nhân vật cấp 5 nhận thêm 50% kinh nghiệm"	0
end									
